" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"581010","Embroidery; without visible ground, in the piece, in strips or in motifs","581010","Embroidery without visible ground"
"581091","Embroidery; with visible ground, of cotton, in the piece, in strips or in motifs","581091","Cotton embroidery, in the piece, in strips or i"
"581092","Embroidery; with visible ground, of man-made fibres, in the piece, in strips or in motifs","581092","Embroidery of man-made fibres, in the piece, in"
"581099","Embroidery; with visible ground, of textile materials (other than cotton and man-made fibres), in the piece, in strips or in motifs","581099","Embroidery of other textiles, in the piece, in"
"581100","Quilted textile products; in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise (excluding embroidery of heading no. 5810)","581100","Quilted textile products in the piece (excl. em"
"590110","Textile fabrics; coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like","590110","Textile fabrics coated with gum or amylaceous s"
"590190","Textile fabrics; coated with gum or amylaceous substances, tracing cloth, prepared painting canvas, buckram and similar stiffened textile fabrics for hat foundations, (excluding book covers)","590190","Tracing cloth; prepared painting canvas; buckra"
"590210","Textile fabrics; tyrecord of high tenacity yarn of nylon or other polyamides","590210","Tyre cord fabric of high tenacity yarn of nylon"
"590220","Textile fabrics; tyrecord of high tenacity yarn of polyester","590220","Tyre cord fabric of high tenacity yarn of polye"
"590290","Textile fabrics; tyrecord of high tenacity yarn of viscose rayon","590290","Tyre cord fabric of high tenacity yarn of visco"
"590310","Textile fabrics; impregnated, coated, covered or laminated with poly(vinyl chloride)","590310","Textile fabrics impregnated... with polyvinyl c"
"590320","Textile fabrics; impregnated, coated, covered or laminated with polyurethane","590320","Textile fabrics impregnated... with polyurethan"
"590390","Textile fabrics; impregnated, coated, covered or laminated with plastics, (excluding polyvinyl chloride, polyurethane and those of heading no. 5902)","590390","Textile fabrics impregnated... with plastics, n"
"590410","Linoleum, whether or not cut to shape","590410","Linoleum"
"590490","Textiles floor coverings; consisting of a coating or covering applied on a textile backing, whether or not cut to shape, other than linoleum","590492","Floor coverings with coating... on a textile ba"
"590500","Textile wall coverings of fabrics impregnated, coated, covered or laminated","590500","Textile wall coverings"
"590610","Textile fabrics, rubberised; (excluding those of heading no. 5902), adhesive tape of a width not exceeding 20cm","590610","Adhesive tape of a width =<20cm"
