" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"910910","910910 -- (2012-) - Electrically operated","910919","Clock movements, complete and assembled, batter"
"910911","910911 -- (-2011) -- Of alarm clocks","910911","Clock movements,complete and assembled,battery"
"910919","910919 -- (-2011) -- Other","910919","Clock movements, complete and assembled, batter"
"910990","910990 --  - Other","910990","Clock movements, complete and assembled, nes"
"911011","911011 --  -- Complete movements, unassembled or partly assembled (movement sets)","911011","Complete movements of watches, unassembled or p"
"911012","911012 --  -- Incomplete movements, assembled","911012","Incomplete movements of watches, assembled"
"911019","911019 --  -- Rough movements","911019","Rough movements of watches"
"911090","911090 --  - Other","911090","Clock movements, unassembled or partly assemble"
"911110","911110 --  - Cases of precious metal or of metal clad with precious metal","911110","Watch cases of precious metal or of metal clad"
"911120","911120 --  - Cases of base metal, whether or not gold- or silver-plated","911120","Watch cases of base metal, whether or not gold-"
"911180","911180 --  - Other cases","911180","Watch cases, nes"
"911190","911190 --  - Parts","911190","Parts of watch cases"
"911210","911210 -- (-2001) - Cases of metal","911210","Clock cases and cases of a similar type, of met"
"911220","911220 -- (2002-) - Cases","911280","Clock cases and cases of a similar type, for ot"
"911280","911280 -- (-2001) - Other cases","911280","Clock cases and cases of a similar type, for ot"
"911290","911290 --  - Parts","911290","Parts of clock cases and cases of a similar typ"
"911310","911310 --  - Of precious metal or of metal clad with precious metal","911310","Watch straps&pts thereof,of precious mtl or of"
"911320","911320 --  - Of base metal, whether or not gold- or silver-plated","911320","Watch straps&pts thereof of base mtl whether or"
"911390","911390 --  - Other","911390","Watch straps, watch bands and watch bracelets,"
"911410","911410 --  - Springs, including hairsprings","911410","Clock or watch springs, including hair-springs"
"911420","911420 -- (-2011) - Jewels","911420","Clock or watch jewels"
"911430","911430 --  - Dials","911430","Clock or watch dials"
"911440","911440 --  - Plates and bridges","911440","Clock or watch plates and bridges"
"911490","911490 --  - Other","911490","Clock or watch parts, nes"
"920110","920110 --  - Upright pianos","920110","Upright pianos, including automatic"
"920120","920120 --  - Grand pianos","920120","Grand pianos, including automatic"
"920190","920190 --  - Other","920190","Harpsichords and other keyboard stringed instru"
"920210","920210 --  - Played with a bow","920210","String musical instruments played with a bow"
"920290","920290 --  - Other","920290","String musical instruments nes"
"920300","920300 -- (-2006) Keyboard pipe organs; harmoniums and similar keyboard instruments with free metal reeds.","920300","Harmoniums&sim keyboard inst with free mtl reed"
"920410","920410 -- (-2006) - Accordions and similar instruments","920410","Accordions and similar instruments"
"920420","920420 -- (-2006) - Mouth organs","920420","Mouth organs (harmonicas)"
"920510","920510 --  - Brass-wind instruments","920510","Brass-wind instruments"
"920590","920590 --  - Other","920590","Wind musical instruments nes"
"920600","920600 --  Percussion musical instruments (for example, drums, xylophones, cymbals, castanets, maracas)","920600","Percussion musical instruments"
"920710","920710 --  - Keyboard instruments, other than accordions","920710","Keyboard instruments,exc accordions,sound gener"
"920790","920790 --  - Other","920790","Musical instruments nes, sound generated or amp"
"920810","920810 --  - Musical boxes","920810","Musical boxes nes"
"920890","920890 --  - Other","920890","Decoy calls,musical inst nes&mouth blown sound"
"920910","920910 -- (-2006) - Metronomes, tuning forks and pitch pipes","920910","Metronomes, tuning forks and pitch pipes"
"920920","920920 -- (-2006) - Mechanisms for musical boxes","920920","Mechanisms for musical box"
"920930","920930 --  - Musical instrument strings","920930","Strings, musical instrument"
"920991","920991 --  -- Parts and accessories for pianos","920991","Parts and accessories for pianos"
"920992","920992 --  -- Parts and accessories for the musical instruments of heading 9202","920992","Parts and accessories for the musical instrumen"
"920993","920993 -- (-2006) -- Parts and accessories for the musical instruments of heading 92.03","920993","Parts and accessories for the musical instrumen"
"920994","920994 --  -- Parts and accessories for the musical instruments of heading 9207","920994","Parts and accessories for the musical instrumen"
"920999","920999 --  -- Other","920999","Parts and accessories for the musical instrumen"
"930100","930100 -- (-2001) Military weapons, other than revolvers, pistols and the arms of heading No. 93.07","930100","Military weapons,oth than revolvers,pistols and"
"930110","930110 -- (2012-) - Artillery weapons (for example, guns, howitzers and mortars)","930100","Military weapons,oth than revolvers,pistols and"
"930111","930111 -- (2002-2011) -- Self-propelled","930100","Military weapons,oth than revolvers,pistols and"
"930119","930119 -- (2002-2011) -- Other","930100","Military weapons,oth than revolvers,pistols and"
"930120","930120 -- (2002-) - Rocket launchers; flame-throwers; grenade launchers; torpedo tubes and similar projectors","930100","Military weapons,oth than revolvers,pistols and"
"930190","930190 -- (2002-) - Other","930100","Military weapons,oth than revolvers,pistols and"
"930200","930200 --  Revolvers and pistols, other than those of heading 9303 or 9304","930200","Revolvers and pistols, other than those of head"
"930310","930310 --  - Muzzle-loading firearms","930310","Muzzle-loading firearms"
